City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
107,Grand-Lahou,5.1367,-5.0242,79.68,82,7,8.95,CI,2021-01-16 19:49:45,clear sky
108,Marzuq,14.4,46.4667,59.32,53,0,2.71,YE,2021-01-16 19:49:45,clear sky
109,Pauini,-7.7136,-66.9764,80.38,77,95,2.51,BR,2021-01-16 19:49:45,heavy intensity rain
110,Asfi,32.2994,-9.2372,55.92,74,0,17.63,MA,2021-01-16 19:49:45,clear sky
111,Taoudenni,22.6783,-3.9836,61.12,26,1,11.61,ML,2021-01-16 19:46:46,clear sky
112,Porbandar,21.6422,69.6093,64.2,46,0,5.37,IN,2021-01-16 19:49:45,clear sky
113,Sayyan,15.1718,44.3244,46.35,51,0,1.41,YE,2021-01-16 19:46:57,clear sky
114,Vila Velha,-20.3297,-40.2925,84.2,58,75,13.8,BR,2021-01-16 19:49:46,broken clouds
115,Harper,4.375,-7.7169,78.89,79,42,6.24,LR,2021-01-16 19:49:46,scattered clouds
116,Capitao Poco,-1.7464,-47.0594,83.91,79,40,3.09,BR,2021-01-16 19:49:46,scattered clouds
117,Cayenne,4.9333,-52.3333,84.2,70,75,11.5,GF,2021-01-16 19:49:46,broken clouds
118,Sao Joao Da Barra,-21.6403,-41.0511,86.0,54,20,23.02,BR,2021-01-16 19:49:46,few clouds
119,Araouane,18.9048,-3.5265,63.39,21,98,11.34,ML,2021-01-16 19:49:46,overcast clouds
120,Carinhanha,-14.3047,-43.765,84.61,54,100,3.78,BR,2021-01-16 19:49:46,overcast clouds
121,Mogadishu,2.0371,45.3438,76.98,84,0,19.98,SO,2021-01-16 19:49:46,clear sky
122,Jacareacanga,-6.2222,-57.7528,89.47,56,74,1.54,BR,2021-01-16 19:49:46,light rain
123,Mumford,5.2618,-0.759,80.17,80,1,10.96,GH,2021-01-16 19:49:46,clear sky
124,Yafran,32.0633,12.5286,45.21,74,3,6.96,LY,2021-01-16 19:49:46,clear sky
125,Tabou,4.423,-7.3528,79.21,81,5,7.9,CI,2021-01-16 19:49:46,clear sky
126,Maua,-23.6678,-46.4614,82.4,47,75,11.5,BR,2021-01-16 19:49:47,broken clouds
127,Marco,25.9726,-81.729,66.2,59,90,13.8,US,2021-01-16 19:49:47,overcast clouds
128,Soure,-0.7167,-48.5233,83.16,72,34,11.36,BR,2021-01-16 19:49:47,scattered clouds
129,Kapoeta,4.7717,33.5903,84.43,37,84,7.43,SS,2021-01-16 19:49:47,broken clouds
130,Tshane,-24.0196,21.8684,80.56,36,8,16.33,BW,2021-01-16 19:49:47,clear sky
131,Fort Wellington,6.4,-57.6,81.46,73,98,12.66,GY,2021-01-16 19:49:47,overcast clouds
132,Novo Aripuana,-5.1206,-60.3797,83.5,82,83,4.23,BR,2021-01-16 19:49:47,broken clouds
133,Boca Do Acre,-8.7522,-67.3978,88.23,58,61,3.98,BR,2021-01-16 19:49:47,broken clouds
134,San Rafael,-34.6177,-68.3301,77.43,20,0,8.48,AR,2021-01-16 19:49:47,clear sky
135,Tessalit,20.1986,1.0114,60.08,23,94,9.48,ML,2021-01-16 19:49:47,overcast clouds
136,Grand Gaube,-20.0064,57.6608,80.01,81,99,5.99,MU,2021-01-16 19:49:47,overcast clouds
137,Belmonte,-15.8631,-38.8828,86.0,66,20,6.91,BR,2021-01-16 19:49:47,few clouds
138,Biltine,14.5333,20.9167,68.23,22,0,6.58,TD,2021-01-16 19:46:57,clear sky
139,Ziarat,30.3823,67.7282,35.19,56,0,2.15,PK,2021-01-16 19:49:47,clear sky
140,Aranos,-24.1333,19.1167,78.39,43,0,9.31,NA,2021-01-16 19:49:47,clear sky
141,Ambam,2.3833,11.2833,71.56,90,100,4.0,CM,2021-01-16 19:49:47,overcast clouds
142,Arcoverde,-8.4189,-37.0539,87.85,28,0,10.27,BR,2021-01-16 19:49:48,clear sky
143,Faya,18.3851,42.4509,55.4,82,0,4.61,SA,2021-01-16 19:49:48,clear sky
144,Salalah,17.0151,54.0924,71.6,68,0,4.61,OM,2021-01-16 19:49:48,clear sky
145,Bereda,43.2686,-7.5406,41.0,99,0,1.99,ES,2021-01-16 19:49:48,clear sky
146,Kouroussa,10.65,-9.8833,77.32,17,96,3.74,GN,2021-01-16 19:49:48,overcast clouds
147,Touros,-5.1989,-35.4608,84.2,54,0,14.97,BR,2021-01-16 19:49:48,clear sky
148,Aguas Formosas,-17.0822,-40.9358,76.03,86,100,5.61,BR,2021-01-16 19:49:48,overcast clouds
149,Buraydah,26.326,43.975,62.6,67,40,5.75,SA,2021-01-16 19:49:48,scattered clouds
150,Jardim,-21.4803,-56.1381,85.21,68,100,8.1,BR,2021-01-16 19:46:27,overcast clouds
151,Lobito,-12.3481,13.5456,75.81,75,1,7.38,AO,2021-01-16 19:49:48,clear sky
152,Dwarka,22.2394,68.9678,69.98,50,0,11.79,IN,2021-01-16 19:49:48,clear sky
153,Prata,-19.3072,-48.9242,77.34,80,100,7.2,BR,2021-01-16 19:49:48,moderate rain
154,Quatre Cocos,-20.2078,57.7625,80.6,83,75,11.5,MU,2021-01-16 19:49:48,broken clouds
155,Hurghada,27.2574,33.8129,62.6,36,0,8.05,EG,2021-01-16 19:49:48,clear sky
156,Fonte Boa,-2.4959,-66.2662,83.52,86,27,3.51,BR,2021-01-16 19:49:48,scattered clouds
157,Marsabit,2.3284,37.9899,71.83,54,17,10.54,KE,2021-01-16 19:49:48,few clouds
158,Agadez,19.75,10.25,65.75,26,8,2.8,NE,2021-01-16 19:49:48,clear sky
159,Namibe,-15.1961,12.1522,75.25,66,0,7.47,AO,2021-01-16 19:49:49,clear sky
160,Natal,-5.795,-35.2094,84.2,54,0,19.57,BR,2021-01-16 19:49:49,clear sky
161,Upata,8.0086,-62.3989,81.63,66,87,7.05,VE,2021-01-16 19:49:49,light rain
