City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
201,Papagaios,BR,75.6,overcast clouds,-19.4492,-44.7478,Hotel Mac Palace
203,Dogondoutchi,NE,76.75,scattered clouds,13.6393,4.0287,Hôtel Alheri Maison Alheri
204,Koutsouras,GR,54.0,scattered clouds,35.0339,25.9469,The White Houses
207,Antalaha,MG,75.99,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
208,Abu Samrah,SY,51.85,broken clouds,35.3029,37.1841,
209,Djibo,BF,76.03,clear sky,14.1022,-1.6306,Centre Des Ressources DPENA
210,Diffa,NE,70.56,clear sky,13.3154,12.6113,ProDAF/Diffa
212,Kassala,SD,70.39,clear sky,15.450999999999999,36.4,Amassi Hotel Gash
214,Valenca,BR,79.9,clear sky,-13.3703,-39.0731,Hotel Galeão
215,Djenne,ML,77.04,overcast clouds,13.9061,-4.5533,Hôtel Chez Baba
220,Cidreira,BR,76.48,overcast clouds,-30.1811,-50.2056,Hotel Castelo
221,Ajdabiya,LY,58.95,clear sky,30.7554,20.2263,Almadina Hotel
226,Bako,ET,70.07,overcast clouds,5.7833,36.5667,Goh Hotel
227,Sao Francisco,BR,78.82,light rain,-15.9486,-44.8644,Pousada Peixe Vivo
228,Arona,ES,64.99,few clouds,28.0996,-16.680999999999997,Paradise Court
229,Anjar,IN,67.1,clear sky,23.1333,70.0167,Manav Residency
233,Mendoza,AR,73.4,clear sky,-32.8908,-68.8272,Hotel Mendoza
234,Choma,ZM,66.15,moderate rain,-16.8065,26.9531,Kamuboola Lodge
235,Menongue,AO,64.47,overcast clouds,-14.6585,17.691,Ritz Lauca
236,Kisangani,CD,71.89,few clouds,0.5167,25.2,Grand Ramela Hotel
237,Aguimes,ES,64.4,scattered clouds,27.9054,-15.4461,Hotel Villa de Aguimes
238,Tingi,TZ,65.46,overcast clouds,-11.3,35.0333,
240,Praia,CV,71.6,clear sky,14.9215,-23.5087,LT Aparthotel
241,Xuddur,SO,76.32,few clouds,4.1213,43.8894,Banjanay Hotel
243,Goure,NE,69.44,clear sky,13.9835,10.2704,
246,Copiapo,CL,71.6,few clouds,-27.3667,-70.3333,Antay Casino Hotel
247,Bani Walid,LY,50.77,scattered clouds,31.7566,13.9942,منزل الصابر أبوفانة
249,Sumbe,AO,75.52,clear sky,-11.2061,13.8437,Hotel Ritz Sumbe
252,Rafai,CF,72.16,clear sky,4.95,23.9167,
253,East London,ZA,71.02,clear sky,-33.0153,27.9116,Tu Casa
255,Hedaru,TZ,72.82,light rain,-4.5,37.9,Hedaru Palace Hotel
257,Wamba,NG,77.38,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
